osuked_id,esail_id,gppd_idnr,name,sett_bmu_id,longitude,latitude,fuel_type,capacity_mw,plant_type,4c_offshore_id,windpowernet_id,wikidata_id,wikipedia_id,power_technology_id,hub_height
10298,,,Crossdykes,"T_CRDEW-1, T_CRDEW-2",-3.1698,55.1763,wind,,onshore,,,,,,
10299,,,Dorenell,"T_DOREW-1, T_DOREW-2",-3.1238,57.3479,wind,,onshore,,,,,,
10300,,,East Anglia One,"T_EAAO-1, T_EAAO-2",2.499,52.233,wind,,offshore,east-anglia-one-united-kingdom-uk64,windfarm_en_16790_east,Q19364853,East_Anglia_Array,east-anglia-one-offshore-wind-farm,120 
10301,,,Hornsea,"T_HOWAO-1, T_HOWAO-2, T_HOWAO-3",1.791,53.8849,wind,,offshore,"hornsea-project-one-united-kingdom-uk81, hornsea-project-two-united-kingdom-uk1u, hornsea-project-three-united-kingdom-uk1k, hornsea-project-four-united-kingdom-uk1j","windfarm_en_16677_hornsea-project-one-heron-wind, windfarm_en_16685_hornsea-project-three",Q23013079,Hornsea_Wind_Farm,hornsea-project-one-north-sea,153.0
10302,,,Kype Muir,T_KPMRW-1,-4.1062,55.6073,wind,,onshore,,,,,,
10303,,,Middle Muir,T_MIDMW-1,-3.8093,55.51,wind,,onshore,,,,,,
10304,,,Moray East,"T_MOWEO-1, T_MOWEO-2, T_MOWEO-3",-2.72,58.188,wind,,offshore,moray-east-united-kingdom-uk40,windfarm_en_16772_moray-east,,,moray-offshore-windfarm-east-scotland,105.0
10305,,,Pogbie,T_PGBIW-1,-2.8533,55.8344,wind,,onshore,,,,,,
10306,,,Triton Knoll,"T_TKNEW-1, T_TKNWW-1",0.839,53.478,wind,,offshore,triton-knoll-united-kingdom-uk30,windfarm_en_10786_triton-knoll-wind-farm,Q7844328,Triton_Knoll,triton-knoll-offshore-windfarm,140.0
10307,,,Tralorg,T_TRLGW-1,-4.8074,55.2337,wind,,onshore,,,,,,
10308,,,Twenty Shillings,T_TWSHW-1,-3.9156,55.3154,wind,,onshore,,,,,,
10309,,,Windy Rig,T_WDRGW-1,-4.1761,55.2718,wind,,onshore,,,,,,
10310,,,Whiteside Hill,T_WHIHW-1,-4.0178,55.3239,wind,,onshore,,,,,,
10311,,,Wathegar,T_WTGRW-1,-3.2296,58.4395,wind,,onshore,,,,,,
