ngc_bmu_id,year,output_MWh
GRGBW-2,2019,372637.435
GRGBW-2,2020,671951.736
GRGBW-3,2016,590806.584
GRGBW-3,2017,607380.737
GRGBW-3,2018,556467.973
GRGBW-3,2019,567777.303
GRGBW-3,2020,623308.868
GRIFW-1,2016,122639.484
GRIFW-1,2017,165711.288
GRIFW-1,2018,153639.645
GRIFW-1,2019,145794.824
GRIFW-1,2020,127120.167
GRIFW-2,2016,150016.461
GRIFW-2,2017,189530.232
GRIFW-2,2018,160079.557
GRIFW-2,2019,162652.896
GRIFW-2,2020,149944.521
GRMO-1,2016,919893.34
GRMO-1,2017,880434.66
GRMO-1,2018,1030475.113
GRMO-1,2019,969367.815
GRMO-1,2020,992358.312
GYAR-1,2016,2305782.104
GYAR-1,2017,1887437.298
GYAR-1,2018,1012986.725
GYAR-1,2019,2448464.042
GYAR-1,2020,998390.979
GYMRO-15,2016,408364.89
GYMRO-15,2017,467193.33
GYMRO-15,2018,418797.51
GYMRO-15,2019,434458.82
GYMRO-15,2020,533674.62
GYMRO-17,2016,406814.26
GYMRO-17,2017,472611.62
GYMRO-17,2018,424367.33
GYMRO-17,2019,422045.76
GYMRO-17,2020,369437.61
GYMRO-26,2016,313351.76
GYMRO-26,2017,503849.85
GYMRO-26,2018,437280.87
GYMRO-26,2019,458049.31
GYMRO-26,2020,507664.42
GYMRO-28,2016,459572.75
GYMRO-28,2017,510219.49
GYMRO-28,2018,446317.47
GYMRO-28,2019,432103.22
GYMRO-28,2020,493621.71
HADHW-1,2016,180848.72
HADHW-1,2017,216386.14
HADHW-1,2018,186557.08
HADHW-1,2019,180649.75
HADHW-1,2020,199368.94
HBHDW-1,2016,0.0
HBHDW-1,2017,0.0
HBHDW-1,2018,0.0
HBHDW-1,2019,115614.868
HBHDW-1,2020,146086.333
HEYM11,2016,3480423.32
HEYM11,2017,3058936.442
HEYM11,2018,3687412.066
HEYM11,2019,3597733.01
HEYM11,2020,2678400.76
HEYM12,2016,4129181.0
HEYM12,2017,3298364.988
HEYM12,2018,3400931.94
HEYM12,2019,3267867.536
HEYM12,2020,3488480.84
HEYM27,2016,5514342.67
HEYM27,2017,5281604.148
HEYM27,2018,3985949.806
HEYM27,2019,5492781.368
HEYM27,2020,5201481.444
HEYM28,2016,4498838.444
HEYM28,2017,5427790.738
HEYM28,2018,5136322.86
HEYM28,2019,5225327.81
HEYM28,2020,4160665.536
HINB-7,2016,3343685.25
HINB-7,2017,3922398.884
HINB-7,2018,3845394.988
HINB-7,2019,3069859.164
HINB-7,2020,1358961.704
HINB-8,2016,4139550.78
HINB-8,2017,3607201.706
HINB-8,2018,3296463.876
HINB-8,2019,4095906.31
HINB-8,2020,588252.284
HLGLW-1,2016,0.0
HLGLW-1,2017,0.0
HLGLW-1,2018,0.0
HLGLW-1,2019,43367.165
HLGLW-1,2020,50405.25
HLTWW-1,2016,0.0
HLTWW-1,2017,0.0
HLTWW-1,2018,9005.94
HLTWW-1,2019,108360.931
HLTWW-1,2020,107939.252
HMGTO-1,2016,0.0
HMGTO-1,2017,0.0
HMGTO-1,2018,369522.745
HMGTO-1,2019,418021.72
HMGTO-1,2020,461932.969
