account_id,year,tonnes_co2
100112,2009,10591
100112,2010,10192
100112,2011,11052
100112,2012,10373
100112,2013,9670
100112,2014,10690
100112,2015,8391
100112,2016,8548
100112,2017,10027
100112,2018,11832
100112,2019,10401
100112,2020,9360
100113,2005,3545
100113,2006,2946
100113,2007,4698
100113,2008,3187
100113,2009,3372
100113,2010,3273
100113,2011,2695
100113,2012,639
100113,2013,986
100113,2014,50
100113,2015,278
100113,2016,112
100113,2017,1130
100113,2018,186
100113,2019,40
100113,2020,145
100115,2019,2
100116,2005,290
100116,2006,348
100116,2007,72
100116,2008,1
100116,2009,298
100116,2010,270
100116,2011,1578
100116,2012,31
100116,2013,32
100116,2014,71
100116,2015,32
100116,2016,421
100116,2017,1217
100116,2018,367
100116,2019,438
100116,2020,285
100117,2005,50504
100117,2006,65542
100117,2007,69277
100117,2008,59043
100117,2009,69391
100117,2010,67747
100117,2011,70064
100117,2012,79784
100117,2013,66370
100117,2014,56808
100117,2015,57508
100117,2016,60946
100117,2017,62616
100117,2018,53178
100117,2019,57700
100117,2020,36719
100118,2006,1959
100118,2007,2375
100118,2008,99
100118,2009,43
100118,2010,58
100118,2011,113
100118,2012,537
100118,2013,774
100118,2014,421
100118,2015,359
100118,2016,1361
100118,2017,151
100118,2018,77
100118,2019,19
100118,2020,19
100119,2006,8
100119,2016,1
100119,2020,1
100120,2010,5
100120,2011,1
100120,2012,1
100120,2013,3
100120,2016,2
100120,2018,1
100120,2019,6
100120,2020,2
100121,2009,18
100122,2006,9
100122,2007,7
100122,2011,6
100122,2012,20
100122,2013,18
100122,2014,38
100122,2015,31
100122,2016,130
100122,2017,1
100122,2018,10
100122,2019,3
100122,2020,6
100123,2005,43
100123,2006,227
100123,2007,16
100123,2009,21
100123,2010,59
100123,2011,127
100123,2012,50
100123,2013,21
100123,2014,42
100123,2015,71
100123,2016,150
100123,2017,47
100123,2018,41
100123,2019,21
100123,2020,26
100124,2005,63519
100124,2006,62456
100124,2007,62047
100124,2008,57697
100124,2009,61347
100124,2010,61898
100124,2011,50184
100124,2012,46065
100124,2013,51699
100124,2014,55004
100124,2015,52509
100124,2016,53901
100124,2017,48553
100124,2018,51862
100124,2019,46978
100124,2020,37838
100125,2005,8
100125,2006,14
100125,2007,49
100125,2008,8
100125,2009,511
100125,2010,7
100125,2011,8
100125,2012,73
100125,2014,13
100125,2015,37
100125,2016,13
100125,2017,5
100125,2018,3
100125,2019,3
100126,2005,81
100126,2006,159
100126,2007,11
100126,2009,20
100126,2010,42
100126,2011,35
100126,2012,13
100126,2013,12
100126,2014,11
100126,2015,26
100126,2016,17
100126,2017,5
100126,2018,7
100126,2019,1
100126,2020,1
100127,2005,12954
100127,2006,14295
100127,2007,10362
100127,2008,6416
100127,2009,9855
100127,2010,29320
100127,2011,31250
100127,2012,43037
100127,2013,29505
100127,2014,31472
100127,2015,25003
100127,2016,33676
100127,2017,43135
100127,2018,26966
100127,2019,34562
100127,2020,37992
100128,2007,145
100128,2008,152
100128,2010,83
100128,2011,55
100129,2005,1870
100129,2006,1995
100129,2007,1136
100129,2008,4671
100129,2009,4071
100129,2010,8041
100129,2011,5093
100129,2012,9848
100129,2013,3673
100129,2014,5976
100129,2015,4552
100129,2016,5161
100129,2017,3379
100129,2018,4357
100129,2019,915
100129,2020,1592
100130,2005,292
100130,2006,70
100130,2007,91
100130,2008,327
100130,2009,3
100130,2010,76
100130,2011,431
100130,2012,2428
100131,2005,115414
100131,2006,136257
100131,2007,86348
100131,2008,105371
100131,2009,101846
100131,2010,140197
100131,2011,123815
100131,2012,136049
100131,2013,146517
100131,2014,150880
100131,2015,200231
100131,2016,236230
100131,2017,241689
100131,2018,126639
100131,2019,157334
100131,2020,154099
100132,2005,161616
100132,2006,179490
100132,2007,174907
100132,2008,163716
100132,2009,156800
100132,2010,207537
100132,2011,182318
100132,2012,179939
100132,2013,142732
100132,2014,144974
100132,2015,157370
100132,2016,149581
100132,2017,143752
100132,2018,133522
100132,2019,117212
100132,2020,106813
100133,2005,166454
100133,2006,175474
100133,2007,180224
100133,2008,187029
100133,2009,169642
100133,2010,178336
100133,2011,164887
100133,2012,162477
100133,2013,179336
100133,2014,165259
100133,2015,159261
100133,2016,201075
100133,2017,184545
100133,2018,199593
100133,2019,173228
100133,2020,178501
100134,2005,227983
100134,2006,255149
100134,2007,270573
100134,2008,261627
100134,2009,218010
100134,2010,268955
100134,2011,252665
100134,2012,236043
100134,2013,255035
100134,2014,226115
100134,2015,245567
100134,2016,205715
100134,2017,238655
100134,2018,237768
100134,2019,244053
100134,2020,253824
100135,2005,258505
100135,2006,399683
100135,2007,407482
100135,2008,375369
100135,2009,259534
100135,2010,350379
100135,2011,278367
100135,2012,269586
100135,2013,258484
100135,2014,283763
100135,2015,263509
100135,2016,225305
100135,2017,239854
100135,2018,260351
100135,2019,234750
100135,2020,100460
100136,2005,111100
100136,2006,152725
100136,2007,131768
100136,2008,117483
100136,2009,86083
100136,2010,91340
100136,2011,59695
100136,2012,65769
100136,2013,74947
100136,2014,76151
100136,2015,69971
100136,2016,101023
100136,2017,68247
100136,2018,60235
100136,2019,52033
100136,2020,43612
100137,2005,366210
100137,2006,433313
100137,2007,378128
100137,2008,357049
100137,2009,320547
100137,2010,365990
100137,2011,348592
100137,2012,350758
100137,2013,333043
100137,2014,328151
100137,2015,284431
100137,2016,257566
100137,2017,210002
100137,2018,240315
100137,2019,209793
100137,2020,186159
100138,2005,2199
100138,2006,2069
100138,2007,5187
100138,2008,3955
100138,2009,14263
100138,2010,3765
100138,2011,5350
100138,2012,6102
100138,2013,6181
100138,2014,6865
100138,2015,7471
100138,2016,7154
100138,2017,7018
100138,2018,7550
100138,2019,7134
100138,2020,7005
100139,2005,326843
100139,2006,375835
100139,2007,391953
100139,2008,400463
100139,2009,321650
100139,2010,333224
100139,2011,326612
100139,2012,172413
100139,2013,152002
100139,2014,160360
100139,2015,138047
100139,2016,124374
100139,2017,107458
100139,2018,94508
100139,2019,95068
100139,2020,82024
100140,2005,11383
100140,2006,11789
100140,2007,17306
100140,2008,12435
100141,2005,4867
100141,2006,3699
100141,2007,3522
100141,2008,2305
100141,2009,760
100141,2010,736
100141,2011,177
100141,2012,788
100141,2013,59
100141,2014,46
100141,2015,66
100141,2016,58
100141,2017,44
100142,2005,27969
100142,2006,5798
100142,2007,2160
100142,2008,2050
100142,2011,380
100142,2012,998
100142,2013,5
100142,2014,35
100142,2015,48
100142,2016,53
100142,2017,80
100142,2018,126
100142,2019,98
100143,2005,42137
100143,2006,48091
100143,2007,47241
100143,2008,39579
100143,2009,15551
100143,2010,49847
100143,2011,48550
100143,2012,48192
100143,2013,49953
100143,2014,47062
100143,2015,38893
100143,2016,27376
100143,2017,27921
100143,2018,27479
100143,2019,30070
100143,2020,32637
100144,2005,99
100144,2006,173
100144,2007,448
100144,2008,12
100144,2009,487
100144,2010,880
100144,2011,354
100144,2012,500
100144,2013,182
100144,2014,254
100144,2015,124
100144,2016,196
100144,2017,97
100144,2018,306
100144,2020,3
100145,2007,1
100145,2008,1
100145,2009,2
100145,2010,34
100145,2011,26
100145,2012,48
100145,2015,5
100145,2016,2
100145,2017,18
100145,2018,2357
100146,2005,419
100146,2006,40
100146,2007,497
100146,2008,61
100146,2009,142
100146,2010,1071
100146,2011,359
100146,2012,390
100146,2013,285
100146,2014,177
100146,2015,82
100146,2016,631
100146,2017,239
100146,2018,455
100146,2019,76
100146,2020,168
100147,2006,10
100147,2007,176
100147,2009,137
100147,2010,72
100148,2005,1195
100148,2006,1501
100148,2007,1407
100148,2008,724
100148,2009,473
100148,2010,1236
100148,2011,365
100148,2012,1101
100148,2013,377
100148,2014,145
100148,2015,96
100148,2016,232
100148,2017,259
100148,2018,220
100148,2019,211
100149,2005,176
100149,2007,10
100149,2008,32
100149,2009,3
100149,2012,52
100149,2013,194
100150,2005,986
100150,2006,1194
100150,2007,1561
100150,2009,494
100150,2010,766
100150,2011,2029
100150,2012,2142
100150,2013,625
100150,2014,129
100150,2016,732
100150,2017,642
100150,2018,88
100150,2019,87
100151,2005,2293
100151,2006,1891
100151,2007,1335
100151,2008,1188
100151,2009,2480
100151,2010,5034
100151,2011,2420
100151,2012,4374
100151,2013,3120
100151,2014,927
100151,2015,583
100151,2016,695
100151,2017,519
100151,2018,764
100151,2019,767
100151,2020,549
100152,2005,3
100152,2007,8
100152,2008,71
100152,2010,7
100152,2018,27
100153,2005,260
100153,2007,806
100153,2008,338
100153,2010,364
100153,2011,230
100153,2012,318
100153,2013,120
100153,2014,53
100154,2005,87
100154,2007,36
100154,2008,139
100154,2009,5
100154,2010,3
100154,2011,10
100154,2012,52
100155,2012,18
100156,2005,253
100156,2008,5
100156,2009,3
100156,2010,51
100156,2011,119
100156,2012,352
100156,2017,161
100156,2018,27
100156,2019,39
100157,2005,6613
100157,2006,6631
100157,2007,6867
100157,2008,6698
100157,2009,6179
100157,2010,6020
100157,2011,5663
100157,2012,6164
100158,2005,8
100158,2006,41
100158,2007,42
100158,2008,11
100158,2010,93
100158,2011,21
100158,2012,10
100158,2013,27
100158,2014,5
100158,2015,17
100158,2016,4
100159,2005,1085
100159,2006,3274
100159,2007,5348
100159,2008,2514
100159,2009,15004
100159,2010,10937
100159,2011,4500
100159,2012,5202
100159,2013,3230
100159,2014,4092
100159,2015,1293
100159,2016,11823
100159,2017,5913
100159,2018,3066
100159,2019,1298
100159,2020,190
100160,2005,4378
100160,2006,7408
100160,2007,7191
100160,2008,2396
100160,2009,13321
100160,2010,16725
100160,2011,7374
100160,2012,11104
100160,2013,7751
100160,2014,9971
100160,2015,3607
100160,2016,6241
100160,2017,2390
100160,2018,1302
100160,2019,417
100160,2020,434
100162,2005,310383
100162,2006,341717
100162,2007,297770
100162,2008,396872
100162,2009,334351
100162,2010,303331
100162,2011,234473
100162,2012,218326
100162,2013,192331
100162,2014,181370
100162,2015,149737
100162,2016,148933
100162,2017,115733
100162,2018,156387
100162,2019,141017
100162,2020,89949
100163,2005,28
100163,2006,23
100163,2007,85
100163,2008,25
100163,2009,36
100163,2010,18
100163,2011,16
100163,2012,41
100163,2013,31
100163,2014,14
100163,2015,8
100163,2016,32
100164,2005,5
100164,2006,87
100164,2008,38
100164,2010,105
100164,2011,25
100164,2012,97
100164,2013,47
100164,2014,14
100164,2015,17
100164,2016,61
100164,2017,21
100164,2018,22
100164,2019,8
100165,2007,221
100165,2009,570
100165,2010,140
100165,2011,71
100165,2012,192
100165,2013,147
100165,2014,60
100165,2015,27
100165,2016,2767
100165,2017,3939
100165,2018,8361
100165,2019,4359
100165,2020,133
100166,2005,570027
100166,2006,610070
100166,2007,648930
100166,2008,496221
100166,2009,540399
100166,2010,602166
100166,2011,524022
100166,2012,419263
100166,2013,404865
100166,2014,340438
100166,2015,365739
100166,2016,245096
100166,2017,262807
100166,2018,260667
100166,2019,265485
100166,2020,251128
100167,2005,16513
100167,2006,11022
100167,2007,10035
100167,2008,9878
100167,2009,13230
100167,2010,17471
100167,2011,15746
100167,2012,45429
100167,2013,28475
100167,2014,42954
100167,2015,9572
100167,2016,19982
100167,2017,11233
100167,2018,9901
100167,2019,7774
100167,2020,3255
100168,2008,481
100168,2009,898
100168,2010,2161
100168,2011,1467
100168,2012,3698
100168,2013,1575
100168,2014,1558
100168,2015,745
100168,2016,1550
100168,2017,2061
100168,2018,2039
100168,2019,1829
100168,2020,1483
100169,2005,37
100169,2007,50
100170,2005,589
100170,2006,1148
100170,2007,432
100170,2008,700
100170,2009,1981
100170,2010,5698
100170,2011,5262
100170,2012,12933
100170,2013,9587
100170,2014,15324
100170,2015,4722
100170,2016,4019
100170,2017,2261
100170,2018,3382
100170,2019,3211
100170,2020,2436
100171,2005,8248
100171,2006,6468
100171,2007,4633
100171,2008,5278
100171,2009,7385
100171,2010,12172
100171,2011,9019
100171,2012,16466
100171,2013,5002
100171,2014,4379
100171,2015,4191
100171,2016,3267
100171,2017,688
100171,2018,2850
100171,2019,1190
100171,2020,599
100172,2007,5
100173,2005,393
100173,2006,433
100173,2007,471
100173,2008,438
100173,2009,485
100173,2010,456
100173,2011,456
100173,2012,384
100173,2013,483
100173,2014,448
100173,2015,832
100173,2016,737
100173,2017,717
100173,2018,1505
100173,2019,1388
100173,2020,1751
100174,2005,80943
100174,2006,83107
100174,2007,82993
100174,2008,79730
100174,2009,74239
100174,2010,67698
100174,2011,56781
100174,2012,57581
100174,2013,62424
100174,2014,57467
100174,2015,58739
100174,2016,60801
100174,2017,56728
100174,2018,56788
100174,2019,49801
100174,2020,46527
100175,2005,835
100175,2006,195
100175,2007,2263
100175,2008,7256
100175,2009,3413
100175,2010,5418
100175,2011,2089
100175,2012,2284
100175,2013,769
100175,2014,273
100175,2015,166
100175,2016,817
100175,2017,517
100175,2018,493
100175,2019,695
100175,2020,393
100176,2005,859
100176,2006,2422
100176,2007,3114
100176,2008,2690
100176,2009,1348
100176,2010,2289
100176,2011,1318
100176,2012,1235
100176,2013,397
100176,2014,9
100176,2015,1
100176,2016,5
100176,2017,396
100178,2005,184490
100178,2006,178190
100178,2007,150802
100178,2008,134021
100178,2009,154188
100178,2010,127323
100178,2011,109038
100178,2012,117878
100178,2013,109617
100178,2014,108841
100178,2015,80687
100178,2016,71145
100178,2017,71026
100178,2018,98441
100178,2019,87586
100178,2020,85543
100179,2005,55380
100179,2006,49796
100179,2007,48127
100179,2008,58411
100179,2009,36899
100179,2010,37883
100179,2011,47074
100179,2012,31212
100179,2013,108303
100179,2014,92919
100179,2015,101777
100179,2016,111512
100179,2017,115106
100179,2018,118256
100179,2019,66844
100179,2020,72086
100180,2005,65915
100180,2006,60380
100180,2007,35597
100180,2008,31686
100180,2009,20693
100180,2010,27103
100180,2011,23513
100180,2012,20908
100180,2013,20847
100180,2014,19547
100180,2015,19495
100180,2016,17922
100180,2017,18403
100180,2018,19195
100180,2019,18342
100180,2020,15017
100181,2005,237410
100181,2006,283798
100181,2007,305318
100181,2008,244253
100181,2009,208344
100181,2010,268326
100181,2011,235613
100181,2012,197054
100181,2013,171651
100181,2014,186207
100181,2015,163033
100181,2016,142328
100181,2017,129784
100181,2018,127290
100181,2019,115147
100181,2020,109745
100182,2005,1513
100182,2006,2040
100182,2007,3704
100183,2005,94702
100183,2006,121608
100183,2007,139060
100183,2008,94539
100183,2009,72578
100183,2010,77263
100183,2011,61179
100183,2012,53511
100183,2013,49194
100183,2014,68351
100183,2015,69241
100183,2016,64786
100183,2017,55590
100183,2018,68332
100183,2019,60257
100183,2020,43407
100184,2005,68819
100184,2006,44408
100184,2007,9415
100185,2005,42181
100185,2006,35932
100185,2007,73914
100185,2008,30638
100185,2009,16690
100185,2010,11378
100185,2011,13925
100185,2012,24549
100185,2013,6483
100185,2014,5875
100185,2015,3305
100185,2016,6757
100185,2017,6631
100185,2018,8100
100185,2019,11190
100185,2020,14849
100186,2005,647
100186,2006,532
100186,2007,536
100186,2008,1082
100186,2009,914
100186,2010,657
100186,2011,473
100186,2012,725
100186,2013,312
100186,2014,440
100186,2015,570
100186,2016,318
100186,2017,473
100186,2018,159
100186,2019,183
100186,2020,20
100187,2005,214
100188,2005,28
100188,2006,21
100188,2007,39
100188,2008,27
100188,2009,278
100188,2010,263
100188,2011,62
100188,2012,206
100188,2013,90
100188,2014,72
100188,2015,119
100188,2016,117
100188,2017,433
100188,2018,44
100188,2019,175
100188,2020,168
100189,2005,3495
100189,2006,4760
100189,2007,5111
100189,2008,3252
100189,2009,1705
100189,2010,7911
100189,2011,2802
100189,2012,7963
100189,2013,1650
100189,2014,382
100189,2015,1184
100189,2016,2667
100189,2017,196
100189,2018,383
100189,2019,88
100189,2020,106
100190,2005,2
100190,2008,4
100190,2011,10
100191,2006,144
100191,2007,45
100191,2008,30
100191,2009,121
100191,2010,450
100191,2011,1
100191,2012,128
100191,2013,2
100191,2014,26
100191,2015,162
100191,2016,620
100191,2017,197
100191,2018,427
100191,2019,21
100191,2020,64
100192,2005,17923
100192,2006,13934
100192,2007,14087
100192,2008,10014
100192,2009,9949
100192,2010,7759
100192,2011,13971
100192,2012,5601
100192,2013,2249
100192,2014,2009
100192,2015,296
100192,2016,837
100192,2017,195
