sett_bmu_id,ngc_bmu_id,bmu_root,name,primary_fuel_type,detailed_fuel_type,longitude,latitude
E_DIDC1G,DIDC01G,DIDCG,Didcot OCGT Unit 1,fuel_oil,gasoil,-1.26757,51.62363
E_DIDC2G,DIDC02G,DIDCG,Didcot OCGT Unit 2,fuel_oil,gasoil,-1.26757,51.62363
E_DIDC3G,DIDC03G,DIDCG,Didcot OCGT Unit 3,fuel_oil,gasoil,-1.26757,51.62363
E_DIDC4G,DIDC04G,DIDCG,Didcot OCGT Unit 4,fuel_oil,gasoil,-1.26757,51.62363
T_DRAXX-10G,DRAXX-10G,DRAXXG,Drax AGT,fuel_oil,gasoil,-0.999021,53.737546
T_DRAXX-12G,DRAXX-12G,DRAXXG,Drax AGT,fuel_oil,gasoil,-0.999021,53.737546
T_DRAXX-9G,DRAXX-9G,DRAXXG,Drax AGT,fuel_oil,gasoil,-0.999021,53.737546
T_FAWL1G,FAWL1G,FAWLG,Fawley AGT,fuel_oil,gasoil,1.328881,50.816696
T_FAWL3G,FAWL3G,FAWLG,Fawley AGT,fuel_oil,gasoil,1.328881,50.816696
T_FAWL4G,FAWL4G,FAWLG,Fawley AGT,fuel_oil,gasoil,1.328881,50.816696
T_FERR-5G,FERR-5G,FERRG,Ferrybridge C AGT,fuel_oil,gasoil,-1.2805799999999998,53.7174
T_FERR-8G,FERR-8G,FERRG,Ferrybridge C AGT,fuel_oil,gasoil,-1.2805799999999998,53.7174
T_FIDL-2G,FIDL-2G,FIDLG,Fiddlers Ferry AGT,fuel_oil,gasoil,-2.687,53.372
T_FIDL-3G,FIDL-3G,FIDLG,Fiddlers Ferry AGT,fuel_oil,gasoil,-2.687,53.372
T_GRAI1G,GRAI1G,GRAIG,Grain AGT,fuel_oil,gasoil,0.715028,51.445181
T_GRAI2G,GRAI2G,GRAIG,Grain AGT,fuel_oil,gasoil,0.715028,51.445181
T_GRAI3G,GRAI3G,GRAIG,Grain AGT,fuel_oil,gasoil,0.715028,51.445181
T_GRAI4G,GRAI4G,GRAIG,Grain AGT,fuel_oil,gasoil,0.715028,51.445181
T_GRAI5G,GRAI5G,GRAIG,Grain AGT,fuel_oil,gasoil,0.715028,51.445181
T_INDQ-1,INDQ-1,INDQ,Indian Queens,fuel_oil,gasoil,-5.064697,50.373496
T_KEADGT-3,KEADGT-3,KEADGT,Keadby GT,fuel_oil,gasoil,-0.494385,53.585984
T_KINO1G,KINO1G,KINOG,Kingsnorth AGT,fuel_oil,gasoil,0.6027020000000001,51.418947
T_KINO4G,KINO4G,KINOG,Kingsnorth AGT,fuel_oil,gasoil,0.6027020000000001,51.418947
T_LITTD1G,LITT1G,LITTDG,Littlebrook D AGT,fuel_oil,gasoil,0.241667,51.46527800000001
T_LITTD2G,LITT2G,LITTDG,Littlebrook D AGT,fuel_oil,gasoil,0.241667,51.46527800000001
T_LITTD3G,LITT3G,LITTDG,Littlebrook D AGT,fuel_oil,gasoil,0.241667,51.46527800000001
T_PEHE-1,PEHE-1,PEHE,Peterhead Block 1,fuel_oil,gasoil,-1.867676,57.527622
T_PEHE-2,PEHE-2,PEHE,Peterhead Unit 2,fuel_oil,gasoil,-1.867676,57.527622
T_RATSGT-2,RATSGT-2,RATSGT,Ratcliffe on Soar AGT,fuel_oil,gasoil,-1.219482,52.855864
T_RATSGT-4,RATSGT-4,RATSGT,Ratcliffe on Soar AGT,fuel_oil,gasoil,-1.219482,52.855864
T_RUGGT-6,RUGGT-6,RUGGT,Rugeley B AGT,fuel_oil,gasoil,-1.94458,52.729639
T_RUGGT-7,RUGGT-7,RUGGT,Rugeley B AGT,fuel_oil,gasoil,-1.94458,52.729639
E_TAYL2G,TAYL2G,TAYLG,Taylors Lane,fuel_oil,gasoil,-0.2575,51.54600000000001
E_TAYL3G,TAYL3G,TAYLG,Taylors Lane,fuel_oil,gasoil,-0.2575,51.54600000000001
T_TILB0G,TILB0G,TILBG,Tilbury B AGT,fuel_oil,gasoil,0.391677,51.454926
T_TILB7G,TILB7G,TILBG,Tilbury B AGT,fuel_oil,gasoil,0.391677,51.454926
T_TILB8G,TILB8G,TILBG,Tilbury B AGT,fuel_oil,gasoil,0.391677,51.454926
T_TILB9G,TILB9G,TILBG,Tilbury B AGT,fuel_oil,gasoil,0.391677,51.454926
T_WBUGT-1,WBUGT-1,WBUGT,West Burton AGT,fuel_oil,gasoil,-0.53833,53.36366500000001
T_WBUGT-4,WBUGT-4,WBUGT,West Burton AGT,fuel_oil,gasoil,-0.53833,53.36366500000001
M_CAS-BEU01,CAS-BEU01,CASBEU,Beauly Cascade,run_of_river,hydro,-4.552586,57.444705000000006
E_CLAC-1,CLAC-1,CLAC,Clachan Power Station,run_of_river,hydro,-4.918736,56.277573
M_CAS-CLU01,CAS-CLU01,CASCLU,Clunie Cascade,run_of_river,hydro,-3.778355,56.716948
M_CAS-CON01,CAS-CON01,CASCON,Conon Cascade,run_of_river,hydro,-4.830066,57.61920300000001
E_CWMD-1,CWMD-1,CWMD,Cwm Dyli,run_of_river,hydro,-4.0114730000000005,53.065902
E_DOLG-1,,DOLG,Dolgarrog,run_of_river,hydro,-3.842674,53.191545
E_DOLG_H,,DOLG,Dolgarrog,run_of_river,hydro,-3.842674,53.191545
E_DOLG_L,,DOLG,Dolgarrog,run_of_river,hydro,-3.842674,53.191545
T_ERRO-1,ERRO-1,ERRO,Errochty G1,run_of_river,hydro,-3.790283,56.734649
T_ERRO-2,ERRO-2,ERRO,Errochty G2,run_of_river,hydro,-3.790283,56.734649
T_ERRO-3,ERRO-3,ERRO,Errochty G3,run_of_river,hydro,-3.790283,56.734649
T_FASN-1,FASN-1,FASN,Fasnakyle G1,run_of_river,hydro,-4.793703,57.325887
E_FASN-2,,FASN,Fasnakyle G2,run_of_river,hydro,-4.793703,57.325887
T_FASN-2,FASN2,FASN,Fasnakyle G2,run_of_river,hydro,-4.793703,57.325887
E_FASN-3,FASN3,FASN,Fasnakyle G3,run_of_river,hydro,-4.793703,57.325887
T_FASN-3,,FASN,Fasnakyle G3,run_of_river,hydro,-4.793703,57.325887
E_FASN-4,FASN-4,FASN,Fasnakyle G4,run_of_river,hydro,-4.793703,57.325887
T_FINL-1,FINL-1,FINL,Finlarig,run_of_river,hydro,-3.614502,56.279961
M_CAS-GAR01,CAS-GAR01,CASGAR,Garry Cascade,run_of_river,hydro,-5.289194,57.066143
T_GLNDO-1,GLNDO-1,GLNDO,Glendoe,run_of_river,hydro,-5.174561,57.15411999999999
M_CAS-KIL01,CAS-KIL01,CASKIL,Killin Cascade,run_of_river,hydro,-4.3077510000000006,56.470679
E_MAEN-1,,MAEN,Maentwrog,run_of_river,hydro,-3.973026,52.920708
M_CAS-MOR01,CAS-MOR01,CASMOR,Moriston Cascade,run_of_river,hydro,-4.962463,57.144936
T_NANT-1,NANT-1,NANT,Nant,run_of_river,hydro,-5.2514650000000005,56.163906
E_RHEI-1,RHEI-1,RHEI,Rheidol,run_of_river,hydro,-3.899297,52.396207
E_RHEI-2,,RHEI,Rheidol,run_of_river,hydro,-3.899297,52.396207
E_RHEI-3,,RHEI,Rheidol,run_of_river,hydro,-3.899297,52.396207
M_SLOY-1,SLOY-1,SLOY,Sloy G1,run_of_river,hydro,-4.735107,56.20059300000001
T_SLOY-2,SLOY-2,SLOY,Sloy G2,run_of_river,hydro,-4.735107,56.20059300000001
T_SLOY-3,SLOY-3,SLOY,Sloy G3,run_of_river,hydro,-4.735107,56.20059300000001
M_SLOY-4,SLOY-4,SLOY,Sloy G4,run_of_river,hydro,-4.735107,56.20059300000001
E_MANXENR-1,MANXENR-1,MANXENR,Manx Power,gas,mann,,
T_BRWE-1,,BRWE,Bradwell,nuclear,nuclear,0.89694,51.74139
T_BRWE-2,,BRWE,Bradwell,nuclear,nuclear,0.89694,51.74139
T_BRWE-3,,BRWE,Bradwell,nuclear,nuclear,0.89694,51.74139
T_BRWE-4,,BRWE,Bradwell,nuclear,nuclear,0.89694,51.74139
T_BRWE-5,,BRWE,Bradwell,nuclear,nuclear,0.89694,51.74139
T_BRWE-6,,BRWE,Bradwell,nuclear,nuclear,0.89694,51.74139
T_DUNG-1,,DUNG,Dungeness A,nuclear,nuclear,0.963889,50.91388900000001
T_DUNG-2,,DUNG,Dungeness A,nuclear,nuclear,0.963889,50.91388900000001
T_DUNG-3,,DUNG,Dungeness A,nuclear,nuclear,0.963889,50.91388900000001
T_DUNG-4,,DUNG,Dungeness A,nuclear,nuclear,0.963889,50.91388900000001
T_DNGB21,DNGB21,DNGB,Dungeness B,nuclear,nuclear,0.963889,50.91388900000001
T_DNGB22,DNGB22,DNGB,Dungeness B,nuclear,nuclear,0.963889,50.91388900000001
T_HRTL-1,HRTL-1,HRTL,Hartlepool,nuclear,nuclear,-1.098633,54.686534
T_HRTL-2,HRTL-2,HRTL,Hartlepool,nuclear,nuclear,-1.098633,54.686534
T_HEYM11,HEYM11,HEYM,Heysham 1,nuclear,nuclear,-2.916111111,54.02888889
T_HEYM12,HEYM12,HEYM,Heysham 1,nuclear,nuclear,-2.916111111,54.02888889
T_HEYM27,HEYM27,HEYM,Heysham 2,nuclear,nuclear,-2.916111111,54.02888889
T_HEYM28,HEYM28,HEYM,Heysham 2,nuclear,nuclear,-2.916111111,54.02888889
T_HINB-7,HINB-7,HINB,Hinkley Point B,nuclear,nuclear,-3.317871,51.138001
T_HINB-8,HINB-8,HINB,Hinkley Point B,nuclear,nuclear,-3.317871,51.138001
T_HUNB-7,HUNB-7,HUNB,Hunterston Generator 7,nuclear,nuclear,-4.822998,55.646599
T_HUNB-8,HUNB-8,HUNB,Hunterston Generator 8,nuclear,nuclear,-4.822998,55.646599
